id,text,source
1,Union Home Minister and Minister of Cooperation Shri Amit Shah pays his respects and bows in reverence to Guru Tegh Bahadur Ji’s sacrifice in Delhi,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193890
2,PCIM&H under Ministry of Ayush Launches 5-Day Training Programme to Strengthen ASU&H Drug Regulation and Quality Standards,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193889
3,Evidence-Based Ayurvedic Products are the Future of Wellness: Union Minister Prataprao Jadhav,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193888
4,Department of Animal Husbandry & Dairying organizes National Consultation Workshop on “Veterinary Bio Waste Management for Sustainable Livestock and Health”,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193845
5,‘You Are the Hope of 1.4 Billion Indians’: Union Minister Dr. Mansukh Mandaviya Hails Athletes at KIUG 2025 Opening Ceromony,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193838
6,Union Home Minister and Minister of Cooperation Shri Amit Shah extends heartiest congratulations to the Indian women’s Kabbadi team for winning Women’s Kabaddi World Cup 2025,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193832
7,Vice-President Shri C. P. Radhakrishnan Addresses Civic Honour Ceremony for Jagadguru Shankaracharya Sri Sri Vidhushekhara Bharati Sannidhanam of Dakshinamnaya Sringeri Sharada Peetham,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193820
8,"MoSJE–DWBDNC and MoRD–DAY NRLM Sign Landmark MoU to Empower De‑Notified, Nomadic and Semi‑Nomadic Tribes (DNTs)",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193811
9,"IFFI 2025 Day 05: Stories That Move Us: In Pictures — Filmmakers Bring Emotion, Insight & Imagination to #IFFIWood",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193799
10,“Self-reliant Motok Society Will Build Atmanirbhar Assam”: Sarbananda Sonowal at Motok Foundation Day,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193781
11,A Journey Through the Edit Table: Sreekar Prasad Unpacks the Craft behind Cinematic Rhythm,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193775
12,Prime Minister Congratulates Indian Women’s Kabaddi Team on winning the Kabaddi World Cup 2025,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193770
13,"Dr Jitendra Singh lauds Quantum sensing breakthroughs by IIT Bombay, inaugurates India's first Liquid Helium Cryogenic facility",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193757
14,Union Minister Kiren Rijiju Arrives in Bhutan to Lead Delegation for Return of Sacred Buddha Relics,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193756
15,Union Minister Dr. Jitendra Singh Announces ₹720-Crore Quantum Fabrication & Central Facilities at IIT Bombay Under the National Quantum Mission,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193751
16,Auction for Sale (re-issue) of (i) ‘5.91% GS 2028’ (ii) ‘6.28% GS 2032’ (iii) ‘7.24% GS 2055’ and (iv) ‘6.98% GOI SGrB 2054’,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193728
17,Union Minister Ashwini Vaishnaw Flags Off Two MEMU Trains at Baraut Railway Station,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193729
18,DRI seizes smuggled foreign origin cigarettes in Mizoram worth Rs. 14.74 crore; three people arrested,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193725
19,Mineral Wealth Must Become a New Engine of Growth for Jammu & Kashmir: Union Minister Shri G. Kishan Reddy,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193723
20,India and Afghanistan Discuss Strengthening Cooperation in the Textile Sector,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2193724
